"Bird.Count" "Lat" "Lon" "month" "year"
"5015" 4 25.3480333333333 -80.78665 4 1997
"5016" 4 25.3480333333333 -80.7768333333333 4 1997
"5017" 0 25.3480333333333 -80.7669 4 1997
"5020" 0 25.339 -80.8163666666667 4 1997
"5022" 1 25.3390166666667 -80.79655 4 1997
"5023" 0 25.3390166666667 -80.7865333333333 4 1997
"5024" 2 25.33905 -80.7767166666667 4 1997
"5025" 3 25.3390333333333 -80.76685 4 1997
"5026" 5 25.3390333333333 -80.7571666666667 4 1997
"5029" 1 25.3300833333333 -80.8063 4 1997
"5032" 2 25.3301 -80.7766333333333 4 1997
"5033" 2 25.3301 -80.7667333333333 4 1997
"5041" 4 25.321 -80.76665 4 1997
"5042" 2 25.3209333333333 -80.75725 4 1997
"5046" 2 25.3120166666667 -80.7862833333333 4 1997
"5047" 2 25.312 -80.77645 4 1997
"5048" 2 25.3120166666667 -80.7665666666667 4 1997
"5049" 2 25.3119666666667 -80.7572333333333 4 1997
"5053" 3 25.3030166666667 -80.7763833333333 4 1997
"5054" 2 25.3030166666667 -80.7664833333333 4 1997
"5055" 3 25.3030666666667 -80.75725 4 1997
"5056" 0 25.2939833333333 -80.79615 4 1997
"5058" 0 25.2939833333333 -80.7763333333333 4 1997
"5059" 3 25.2939833333333 -80.7664333333333 4 1997
"5062" 0 25.285 -80.7664 4 1997
"5068" 0 25.3748166666667 -80.7374333333333 4 1997
"5069" 0 25.3747333333333 -80.7274 4 1997
"5071" 3 25.36595 -80.74735 4 1997
"5072" 0 25.36595 -80.7374 4 1997
"5073" 0 25.36595 -80.7273833333333 4 1997
"5074" 0 25.3659833333333 -80.7175166666667 4 1997
"5075" 2 25.35695 -80.7473333333333 4 1997
"5076" 4 25.3569666666667 -80.7374 4 1997
"5078" 0 25.3569666666667 -80.7175166666667 4 1997
"5079" 2 25.3479 -80.7473166666667 4 1997
"5080" 5 25.3479166666667 -80.7374 4 1997
"5081" 2 25.3479333333333 -80.7274 4 1997
"5083" 3 25.339 -80.7473166666667 4 1997
"5084" 3 25.3390333333333 -80.7374 4 1997
"5085" 3 25.3390166666667 -80.7274166666667 4 1997
"5086" 1 25.3390333333333 -80.7175333333333 4 1997
"5087" 3 25.3300166666667 -80.7473166666667 4 1997
"5088" 2 25.3300166666667 -80.7374166666667 4 1997
"5092" 0 25.32095 -80.7374 4 1997
"5093" 1 25.32095 -80.7274 4 1997
"5095" 2 25.3119833333333 -80.7472666666667 4 1997
"5096" 1 25.3119833333333 -80.7373666666667 4 1997
"5097" 3 25.3119833333333 -80.7273833333333 4 1997
"5098" 2 25.3119833333333 -80.7175 4 1997
"5100" 3 25.3029333333333 -80.7373666666667 4 1997
"5102" 6 25.3029333333333 -80.7174666666667 4 1997
"5103" 1 25.3029166666667 -80.7076833333333 4 1997
"5104" 4 25.2939833333333 -80.74725 4 1997
"5107" 2 25.2940166666667 -80.71745 4 1997
"5108" 0 25.2939833333333 -80.7076666666667 4 1997
"5111" 3 25.285 -80.7272166666667 4 1997
"5112" 3 25.285 -80.7172333333333 4 1997
"5116" 0 25.2761 -80.7372333333333 4 1997
"5119" 0 25.3917333333333 -80.7475 4 1998
"5120" 0 25.3917666666667 -80.7375833333333 4 1998
"5123" 0 25.3830333333333 -80.73755 4 1998
"5124" 0 25.3830333333333 -80.7275666666667 4 1998
"5125" 1 25.3748333333333 -80.81675 4 1998
"5126" 0 25.3749 -80.80675 4 1998
"5127" 0 25.3749333333333 -80.7968833333333 4 1998
"5128" 1 25.3749333333333 -80.78685 4 1998
"5129" 0 25.37495 -80.77705 4 1998
"5130" 0 25.37495 -80.7671666666667 4 1998
"5131" 0 25.375 -80.7572 4 1998
"5135" 0 25.366 -80.7867833333333 4 1998
"5136" 1 25.3659833333333 -80.7769666666667 4 1998
"5137" 1 25.366 -80.7670666666667 4 1998
"5138" 4 25.3659833333333 -80.7572 4 1998
"5140" 0 25.357 -80.8165666666667 4 1998
"5141" 1 25.3569833333333 -80.80655 4 1998
"5142" 2 25.357 -80.7967166666667 4 1998
"5143" 2 25.3570166666667 -80.7867166666667 4 1998
"5144" 0 25.3570166666667 -80.7768833333333 4 1998
"5145" 1 25.357 -80.7669833333333 4 1998
"5146" 3 25.3569833333333 -80.7572 4 1998
"5147" 1 25.3480166666667 -80.8263 4 1998
"5149" 0 25.3480333333333 -80.8064833333333 4 1998
"5151" 0 25.3480333333333 -80.78665 4 1998
"5152" 1 25.3480333333333 -80.7768333333333 4 1998
"5153" 3 25.3480333333333 -80.7669 4 1998
"5154" 1 25.348 -80.7571666666667 4 1998
"5155" 0 25.3389666666667 -80.8262333333333 4 1998
"5156" 0 25.339 -80.8163666666667 4 1998
"5158" 1 25.3390166666667 -80.79655 4 1998
"5159" 0 25.3390166666667 -80.7865333333333 4 1998
"5160" 2 25.33905 -80.7767166666667 4 1998
"5161" 1 25.3390333333333 -80.76685 4 1998
"5162" 3 25.3390333333333 -80.7571666666667 4 1998
"5163" 0 25.3300666666667 -80.8162833333333 4 1998
"5164" 3 25.3300833333333 -80.8063 4 1998
"5165" 2 25.3300833333333 -80.79645 4 1998
"5166" 0 25.3300833333333 -80.7864666666667 4 1998
"5167" 0 25.3301 -80.7766333333333 4 1998
"5168" 1 25.3301 -80.7667333333333 4 1998
"5169" 2 25.3300833333333 -80.75715 4 1998
"5171" 1 25.3209833333333 -80.8062 4 1998
"5175" 1 25.321 -80.76665 4 1998
"5176" 0 25.3209333333333 -80.75725 4 1998
"5182" 2 25.3120166666667 -80.7665666666667 4 1998
"5183" 0 25.3119666666667 -80.7572333333333 4 1998
"5186" 2 25.3030166666667 -80.7862 4 1998
"5187" 0 25.3030166666667 -80.7763833333333 4 1998
"5188" 4 25.3030166666667 -80.7664833333333 4 1998
"5190" 0 25.2939833333333 -80.79615 4 1998
"5192" 0 25.2939833333333 -80.7763333333333 4 1998
"5193" 0 25.2939833333333 -80.7664333333333 4 1998
"5194" 3 25.294 -80.7572166666667 4 1998
"5196" 1 25.285 -80.7664 4 1998
"5204" 0 25.3831 -80.8169166666667 4 1998
"5205" 0 25.3831166666667 -80.8069333333333 4 1998
"5206" 0 25.3831 -80.7970333333333 4 1998
"5208" 0 25.3830333333333 -80.7773333333333 4 1998
"5209" 0 25.3748666666667 -80.7473666666667 4 1998
"5210" 0 25.3748166666667 -80.7374333333333 4 1998
"5211" 0 25.3747333333333 -80.7274 4 1998
"5213" 2 25.36595 -80.74735 4 1998
"5214" 0 25.36595 -80.7374 4 1998
"5215" 0 25.36595 -80.7273833333333 4 1998
"5216" 0 25.3659833333333 -80.7175166666667 4 1998
"5217" 2 25.35695 -80.7473333333333 4 1998
"5218" 1 25.3569666666667 -80.7374 4 1998
"5220" 2 25.3569666666667 -80.7175166666667 4 1998
"5221" 3 25.3479 -80.7473166666667 4 1998
"5223" 3 25.3479333333333 -80.7274 4 1998
"5224" 0 25.34795 -80.7175333333333 4 1998
"5225" 3 25.339 -80.7473166666667 4 1998
"5226" 0 25.3390333333333 -80.7374 4 1998
"5227" 0 25.3390166666667 -80.7274166666667 4 1998
"5230" 0 25.3300166666667 -80.7374166666667 4 1998
"5233" 3 25.3209166666667 -80.7472833333333 4 1998
"5236" 2 25.3209833333333 -80.7175166666667 4 1998
