SUID,CITY,STAID,sname,AnnMeanT,AnnMeanP,AnnMaxT,AnnMinT,AnnMaxP,AnnMinP,DAkm2,MIN_ELEV,MAX_ELEV,MEANELEV,RELIEF,AWCH,AWCL,CLYAVE,KFCAVE,ORMH,ORML,SOC100CM,SOC30CM,DomEcoReg
TRIN,DFW,08062090,"Red Oak Ck nr Hampton Rd nr Red Oak, TX",18.18172,104.3783,28.60,6.93,14.44,5.10,53.81995064,171.4497,262.6107,220.3481,91.161,0.176,0.114,49.217,0.317,2.046,0.599,9184.963,4679.74,ECO_32
TRIN,DFW,08062525,"Walker Ck nr Oil Field Rd nr Rosser, TX",18.4501,102.7641,28.72,7.29,13.88,4.85,59.25892544,97.5362,155.4937,128.3378,57.9574,0.176,0.119,50.3355,0.323,1.733,0.568,11168,4619,ECO_32
TRIN,DFW,08062600,"Grays Ck at Cr 1603 nr Rice, TX",18.46548,105.184,28.67,7.38,14.13,4.81,64.82739964,92.9653,148.1412,123.7168,55.1758,0.175,0.117,51.3785,0.322,1.864,0.591,11379.754,4821.982,ECO_32
TRIN,DFW,08062805,"Williams Ck nr Fm 1836 nr Kemp, TX",18.07224,110.9067,28.41,6.87,13.14,5.04,68.03898476,110.1554,174.1595,140.4152,64.0041,0.176,0.114,49.8235,0.3175,2.05,0.598,9656.264,4830.773,ECO_32
TRIN,DFW,08063047,"Bynum Ck nr Fm 308 nr Malone, TX",18.60244,99.22382,28.76,7.55,13.60,3.44,52.78395544,139.9427,247.2183,174.8876,107.2756,0.174,0.119,48.6495,0.3205,1.536,0.503,9677.127,3986.79,ECO_32
TRIN,DFW,08063300,"Pin Oak Ck nr Fm 73 nr Coolidge, TX",18.66128,101.1153,28.65,7.75,13.92,3.89,101.6829289,129.0356,201.3419,162.1142,72.3063,0.175,0.116,51.538,0.321,1.898,0.597,11342.426,4878.778,ECO_32
TRIN,DFW,08063510,"Little Pin Oak Ck nr Ih 45 nr Richland, TX",18.68217,103.73,28.58,7.85,14.41,4.37,40.87001064,98.0875,167.8531,128.5872,69.7656,0.169,0.117,48.8545,0.333,1.702,0.544,10710.467,4217.633,ECO_32
TRIN,DFW,08063555,"S Fk Chambers Ck nr CR 102 nr Maypearl, TX",18.48422,96.32722,28.80,7.33,13.18,4.87,291.37365,158.687,271.3153,210.8192,112.6284,0.169,0.116,46.825,0.334,1.617,0.521,10137.75,4016.468,ECO_32
TRIN,DFW,08063565,"Mill Ck at Lowell Rd nr Milford, TX",18.46474,101.2846,28.68,7.37,13.67,4.32,80.36732764,152.4339,268.2676,207.2747,115.8338,0.176,0.114,49.715,0.318,2,0.594,9741.291,4752.265,ECO_32
TRIN,DFW,08063574,"Big Onion Ck at Feaster Rd nr Bardwell, TX",18.4808,101.4411,28.76,7.32,13.61,4.84,52.91345484,131.6581,231.9383,168.8985,100.2802,0.177,0.118,51.7335,0.3205,1.883,0.586,11100.907,4853.407,ECO_32
TRIN,DFW,08063595,"South Prong Ck at Fm 876 nr Waxahachie, TX",18.29108,105.1421,28.61,7.11,14.41,5.52,53.40555256,165.1458,262.9964,219.1353,97.8506,0.16,0.107,41.6915,0.341,1.199,0.313,7287.737,3217.684,ECO_32
TRIN,DFW,08063692,"Mustang Ck at Moseley Rd nr Ennis, TX",18.43546,103.6179,28.78,7.22,14.06,5.15,55.84014128,133.9873,211.2961,167.4909,77.3088,0.168,0.113,46.6135,0.331,1.487,0.451,9387.574,3973.95,ECO_32
TRIN,DFW,08064695,"Tehuacana Ck at Rural Rd 27 nr Wortham, TX",18.72451,104.1875,28.52,7.99,14.04,4.16,164.6973369,105.3279,198.4914,143.4011,93.1634,0.159,0.107,38.8925,0.343,1.136,0.268,6682.41,2989.678,ECO_33
WILL,POR,14199710,"Nate Creek near Colton, Oreg.",10.79452,162.5942,18.62,3.44,24.69,2.55,28.749,119.369,485.403,277.56,366.034,0.175,0.138,43.536,0.3175,2.953,1.012,15333.678,8230.871,ECO_3
WILL,POR,14205400,"East Fork Dairy Creek near Meacham Corner, OR",8.891111,173.0655,16.38,1.85,27.83,2.04,87.542,94.83,684.672,400.867,589.842,0.18,0.142,33.455,0.2745,3.957,1.478,15858.244,9420.989,ECO_1
WILL,POR,14206347,"Rock Creek at Quatama Road near Hillsboro, OR",11.11803,122.3743,18.94,3.61,18.96,1.89,66.7184,41.411,379.261,134.55,337.85,0.141,0.116,24.5875,0.3255,2.039,0.731,13556.47,7463.06,ECO_3
WILL,POR,14206435,"Beaverton Creek at Sw 216th Ave, nr Orenco, OR",11.46175,116.9389,19.34,3.89,17.87,1.85,95.6228,39.416,389.011,102.116,349.595,0.156,0.129,26.18,0.363,1.631,0.625,12332.344,7054.396,ECO_3
WILL,POR,14206750,"Chicken Creek near Sherwood, OR",11.38235,123.5698,19.26,3.87,19.11,1.70,40.0414,39.095,379.994,137.97,340.898,0.197,0.172,30.966,0.3845,1.933,0.703,13985.625,7179.85,ECO_3
WILL,POR,14206950,"Fanno Creek at Durham, OR",11.57563,118.0413,19.46,4.00,18.03,1.87,80.7303,36.116,332.23,99.649,296.115,0.154,0.131,24.968,0.3415,2.101,0.787,14620.086,7867.012,ECO_3
WILL,POR,14211315,"Tryon Creek blw Nettle Creek, near Lake Oswego, OR",11.50736,124.2943,19.37,3.96,18.90,2.09,17.1199,15.125,296.372,123.019,281.247,0.132,0.109,23.985,0.302,2.224,0.786,13953.333,7677.111,ECO_3
WILL,POR,434745123040200,"Silk Creek near Cottage Grove, OR",10.9704,140.694,18.48,4.02,22.76,2.04,42.1652,194.994,538.43,310.19,343.436,0.175,0.139,41.697,0.3095,2.931,1.016,15273.772,8509.113,ECO_3
WILL,POR,435212122483300,"Lost Creek near Dexter, OR",9.690152,161.4071,17.61,2.66,25.41,2.61,83.4239,239.619,1409.9,621.296,1170.28,0.16,0.124,36.64,0.243,2.995,0.922,14560.286,8151.952,ECO_4
WILL,POR,440257123103200,"Amazon Creek near Danebo Road at Eugene, OR",11.33644,140.7153,18.87,4.28,23.03,1.99,50.246,117.294,580.014,177.345,462.72,0.179,0.147,41.22,0.289,1.879,0.851,11584.529,8103.569,ECO_3
WILL,POR,443326123165200,"Oak Creek at Corvallis, OR",10.76874,166.2197,18.12,3.95,26.55,1.72,32.5045,66.647,649.714,223.653,583.067,0.181,0.147,41.0405,0.304,1.939,0.847,10318.2,7021.666,ECO_3
WILL,POR,445029122592600,"Battle Creek near Turner, OR",11.06674,141.3892,18.75,3.87,22.49,1.68,29.9145,92.442,324.38,180.658,231.938,0.176,0.139,43.49,0.32,2.906,1.008,15128,8129,ECO_3
WILL,POR,445551123015800,"Pringle Creek at Salem, OR",11.47181,126.8177,19.19,4.13,20.05,1.59,24.7863,44.045,199.205,101.351,155.159,0.169,0.136,38.2365,0.309,2.403,0.919,13905.458,8242.75,ECO_3
WILL,POR,450022123012400,"Claggett Creek at Keizer, OR",11.76343,116.3424,19.54,4.31,18.26,1.58,24.8381,35.944,69.414,52.663,33.47,0.197,0.172,22.9315,0.412,1.88,0.795,15236.692,8015.846,ECO_3
WILL,POR,450955122291200,Milk Creek at Camp Adams,9.95316,179.0231,17.85,2.75,27.14,2.85,103.7813,120.15,1280.8,448.293,1160.65,0.159,0.123,35.1605,0.2455,4.039,1.261,17449.229,9786.881,ECO_3
WILL,POR,451734122585400,"Chehalem Creek at Newberg, OR",11.30458,129.7841,19.10,3.90,20.28,1.42,97.8502,24.958,432.994,118.651,408.036,0.185,0.153,38.0425,0.334,2.13,0.866,12457.906,7404.729,ECO_3
WILL,POR,452149123194900,"North Yamhill Creek near Yamhill, OR",9.290264,204.6839,16.59,2.87,33.17,1.73,65.8637,103.331,1042.37,450.841,939.039,0.182,0.139,30.9005,0.2665,4.158,1.59,15153.615,9079.492,ECO_1
WILL,POR,452231122200000,"Deep Creek near Sandy, OR",10.55518,191.1752,18.53,3.08,28.83,3.29,31.3649,149.675,391.967,294.63,242.292,0.16,0.131,42.0765,0.2555,4.492,1.155,20901,11176.75,ECO_3
WILL,POR,452337122243500,"North Fork Deep Creek at Barton, OR",11.1566,173.3572,19.07,3.61,26.19,2.97,37.0111,58.056,306.733,186.691,248.677,0.172,0.137,43.831,0.303,3.257,1.037,16638.105,8876.947,ECO_3
WILL,POR,452414122213200,"Tickle Creek near Boring, OR",10.85505,185.1665,18.80,3.34,27.90,3.21,34.0844,108.412,382.281,246.47,273.869,0.163,0.132,42.074,0.2665,4.229,1.131,19859.656,10644.828,ECO_3
WILL,POR,452526122364400,"Kellogg Creek at Milwaukie, OR",11.69633,131.221,19.57,4.11,19.99,2.20,34.1103,13.842,329.97,94.389,316.128,0.151,0.128,29.137,0.308,2.125,0.805,14904.389,8531.417,ECO_3
WILL,POR,452912122291200,"Johnson Creek at Circle Ave, OR",11.22402,165.4437,19.13,3.67,25.19,2.87,55.6332,74.094,331.078,162.998,256.984,0.143,0.116,26.603,0.3005,2.611,0.823,14663.458,7626.118,ECO_3
WILL,POR,453506123125700,"Iler Creek near Forest Grove, OR",9.782215,163.6717,17.13,2.96,26.51,1.60,12.5874,87.93,662.755,290.669,574.825,0.174,0.148,41.503,0.291,3.252,1.079,16440.166,9770.333,ECO_3
WILL,POR,454321122352300,"Curtin Creek near Vancouver, WA",11.44505,132.4918,19.31,3.85,20.40,2.34,30.303,51.278,97.979,72.449,46.701,0.156,0.122,15.675,0.304,0.487,0.248,3520.428,3520.428,ECO_3
WILL,POR,454510122424900,"Whipple Creek near Salmon Creek, WA",11.39629,130.3832,19.21,3.85,20.36,2.25,22.1704,16.221,138.946,67.706,122.725,0.203,0.174,24.8885,0.38,0.81,0.362,6738,5434,ECO_3
WILL,POR,454543122524900,"South Scappose Creek at Scappose, OR",9.858696,156.8012,17.45,2.68,24.94,2.10,65.3198,12.148,648.381,272.737,636.233,0.17,0.136,24.9985,0.3,2.193,0.989,10388.279,6954.617,ECO_1
WILL,POR,454549122295800,"Salmon Creek near Battleground, WA",10.18012,202.6654,18.16,2.68,32.06,3.17,58.8448,74.747,679.009,280.103,604.261,0.193,0.145,37.899,0.258,1.536,0.543,10011.762,7100.206,ECO_3
