"Baetisca rogersi Berner","Caenis sp.","Caenis anceps Traver","Dannella simplex (McDunnough)","Drunella doddsi (Needham)","Drunella flavilinea (McDunnough)","Drunella grandis (Eaton)","Drunella tuberculata (Morgan)","Ephemerella sp.","Ephemerella dorothea Needham","Ephemerella inermis Eaton","Eurylophella sp.","Serratella deficiens (Morgan)","Serratella micheneri (Traver)","Serratella serrata (Morgan)","Serratella tibialis (McDunnough)","Timpanoga hecuba (Eaton)",Leptohyphidae,"Tricorythodes sp.","Neochoroterpes sp.","Paraleptophlebia sp.","Anthopotamus sp.","Centroptilum/Procloeon sp.","Acentrella insignificans (McDunnough)","Acentrella turbida (McDunnough)","Acerpenna sp.","Acerpenna pygmaea (Hagen)","Apobaetis indeprensus Day","Baetis flavistriga McDunnough","Baetis intercalaris McDunnough","Baetis pluto McDunnough","Baetis tricaudatus Dodds","Callibaetis sp.","Camelobaetidius sp.","Diphetor hageni (Eaton)","Fallceon quilleri (Dodds)","Heterocloeon sp.","Paracloeodes minutus (Daggy)","Plauditus sp.","Pseudocloeon sp.","Pseudocloeon propinquum (Walsh)","Siphlonurus sp.","Cinygmula sp.","Epeorus sp.","Epeorus albertae (McDunnough)","Epeorus longimanus (Eaton)","Heptagenia sp.","Ironodes sp.","Leucrocuta sp.","Rhithrogena sp.","Stenacron sp.","Stenacron interpunctatum (Say)","Stenonema modestum (Banks)/smithae Traver","Stenonema femoratum (Say)","Stenonema mediopunctatum (McDunnough)","Stenonema terminatum (Walsh)","Stenonema vicarium (Walker)","Isonychia sp.",MANUII,NUII,NLCD2,NLCD4,NLCD7,NLCD8,NLCD.IS,City,SUID,STAID,SampleID
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.62290712,48.45816469,92.63157895,3.157894737,1.052631579,2.631578947,32.03849,RAL,ALBE,209651815,108108
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,17,12.31732186,10.11983032,20.66666667,44.44444444,3.777777778,27.11111111,3.518827,RAL,ALBE,209665940,108313
0,0,0,1,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,24,0,0,1,0,0,0,0,0,25,4.703119869,5.397745201,7.278165503,45.16450648,4.287138584,37.0887338,1.118742,RAL,ALBE,209665990,108206
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.07519257,43.73165506,82.12058212,10.3950104,2.148302148,4.296604297,27.7402,RAL,ALBE,209679804,108088
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,1119,0,0,0,0,0,0,0,0,0,48,0,0,0,3,0,0,0,0,33,2.401591991,3.957466165,3.141928494,75.8396533,6.500541712,8.559046587,0.2759335,RAL,ALBE,209695780,108247
0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,51,5.969803022,6.297844852,6,72.7826087,3.47826087,13.39130435,0.5986953,RAL,ALBE,209697900,108262
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.18783328,29.39323672,44.34782609,45.82608696,2.52173913,5.043478261,9.030488,RAL,ALBE,2097355,108389
0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,53,0,0,0,11,0,0,0,0,20,6.207293763,6.473220728,5.193236715,68.47826087,3.743961353,19.3236715,0.4261931,RAL,ALBE,2097464,108306
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.35590486,18.46947032,23.72881356,61.86440678,2.824858757,9.604519774,6.676621,RAL,ALBE,209750881,108227
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,47.63922041,33.09308015,66.81096681,24.24242424,1.154401154,6.204906205,19.01651,RAL,ALBE,2099238,108199
