"","city","suid","sample","agr","a_temp","a_prec","richtol","nuii"
"141","BOS","NECB",1105500,2.7391336,9.726118,125.635,5.351214286,30.29793962
"142","BOS","NECB",1105581,3.0397974,9.834538,129.1011,5.820850694,36.06921205
"143","BOS","NECB",1106468,3.0336892,9.88087,129.2303,6.536468254,45.56308686
"144","BOS","NECB",1109000,5.9702449,9.798933,122.5147,5.276200565,14.65698258
"145","BOS","NECB",1109595,5.616672,8.291189,126.1626,6.180426829,23.89327768
"146","BOS","NECB",1110000,2.5198868,8.645103,121.0024,5.840271318,36.95955902
"147","BOS","NECB",1112262,9.310244,9.24404,124.9934,4.60522619,12.32753747
"148","BOS","NECB",1193340,9.5508899,9.162451,136.2463,4.433664773,6.29895223
"149","DEN","SPLT",6713500,0,9.915417,42.06901,6.75,87.21571384
"150","DEN","SPLT",393557105033101,0,9.173235,46.57735,6.4375,57.77652442
"151","DEN","SPLT",393613104511401,0,9.39455,45.55371,6.780487805,30.92495671
"152","DEN","SPLT",393948105053501,1.275195393,9.019464,46.76035,5.888888889,31.62472846
"153","DEN","SPLT",394107105021001,0,9.704521,43.95013,6.513513514,87.08560358
"154","DEN","SPLT",394409105020501,0.063572791,9.479523,44.36064,6.361111111,80.98804871
"155","DEN","SPLT",394553105075101,0.112359551,8.887539,46.74424,6.634146341,52.46215354
"156","DEN","SPLT",394629105063101,0.158102767,9.119665,45.88837,6.340909091,45.24647411
"157","DEN","SPLT",394919105074601,1.932858596,9.220909,45.38367,6.189189189,29.25455901
"158","DEN","SPLT",394921105015701,0,9.742702,43.15327,6.333333333,79.1241125
"159","DEN","SPLT",395324105035001,1.554550594,9.368573,44.28818,6.25,25.95356245
"160","DEN","SPLT",395554105085601,1.657458564,9.101161,44.97192,6.745166667,12.80102468
"161","DEN","SPLT",395707105100401,2.572706935,8.83912,45.76705,6.405405405,4.289846562
"162","DEN","SPLT",395958105113501,17.98029557,9.600856,42.79354,5.850746269,13.76629579
"163","DEN","SPLT",400000105125400,11.06623586,9.148764,44.38902,4.86,5.975130458
"164","DEN","SPLT",400023105142301,0.423728814,9.234113,43.30738,6.465116279,54.24727308
"165","DEN","SPLT",400217105123701,6.771141336,9.494295,42.63696,5.12,45.33113444
"166","DEN","SPLT",400607105094401,25.13888889,9.68518,40.47441,6.381818182,15.29299537
"167","DEN","SPLT",400810105071301,52.29202037,9.814017,39.59713,5.727272727,10.03459839
"168","DEN","SPLT",400855105090501,45.36256324,9.803816,39.16082,6.444444444,5.974961855
"169","DEN","SPLT",400925105023201,53.41446924,9.926014,38.11325,6.68,16.68962401
"170","DEN","SPLT",402549105043101,62.51830161,9.435288,40.49228,6.56775,18.32014403
"171","DEN","SPLT",403035105035301,0.628930818,9.532567,39.8685,6.206595745,61.06561251
"172","DEN","SPLT",403048105042701,14.36893204,9.374093,40.48161,6.537173913,12.41974084
"173","DEN","SPLT",403308105001601,22.99239614,8.296503,39.4683,6.575,4.201524185
"174","DEN","SPLT",403356105024001,1.148105626,9.409401,39.82141,6.209302326,59.45681326
