group,crop,carbon,sample.period,fertilizer,n.input,emission,EF,daily.em
43,vegetable,,92,AN,120,1.2,1,13.04347826
43,tuber,,232,UAN,170,3,1.764705882,12.93103448
43,tuber,,247,UAN,180,4.7,2.611111111,19.02834008
43,grass,,122,AN,210,2.5,1.19047619,20.49180328
43,grass,,365,AN,230,1.9,0.826086957,5.205479452
43,grass,,365,AN,310,4.5,1.451612903,12.32876712
43,grass,,365,AN,320,3.8,1.1875,10.4109589
43,grass,,214,AN,320,9,2.8125,42.05607477
43,grass,,365,AN,320,13.9,4.34375,38.08219178
43,grass,,214,AN,320,18.4,5.75,85.98130841
43,grass,,365,AN,462.5,7.7,1.664864865,21.09589041
43,grass,,214,AN,487.5,16.9,3.466666667,78.97196262
43,cereal,,273,AN,200,0.7,0.35,2.564102564
43,cereal,,275,AN,200,0.9,0.45,3.272727273
44,corn,,183,AN,182,1.29,0.708791209,7.049180328
44,corn,,183,AN,182,1.3,0.714285714,7.103825137
44,corn,,183,AN,182,1.44,0.791208791,7.868852459
44,corn,,183,AN,182,1.49,0.818681319,8.142076503
44,corn,,183,AN,182,1.5,0.824175824,8.196721311
44,corn,,183,AN,182,1.57,0.862637363,8.579234973
44,corn,,183,AN,182,1.6,0.879120879,8.743169399
44,corn,,183,AN,182,1.72,0.945054945,9.398907104
44,corn,,183,AN,182,1.75,0.961538462,9.56284153
44,corn,,183,AN,182,2,1.098901099,10.92896175
44,corn,,183,AN,182,2.48,1.362637363,13.55191257
44,corn,,183,AN,182,3.95,2.17032967,21.58469945
44,corn,,183,AN,182,4.72,2.593406593,25.79234973
44,corn,,183,AN,182,5.06,2.78021978,27.65027322
44,corn,,183,AN,182,5.48,3.010989011,29.94535519
44,corn,,183,AN,182,6.06,3.32967033,33.1147541
44,corn,,183,AN,182,7.55,4.148351648,41.2568306
44,corn,,183,AN,182,8.99,4.93956044,49.12568306
45,corn,1,85,U,140,2.500,1.785714286,29.41176471
45,corn,1,85,none,0,0.300,#DIV/0!,3.529411765
45,corn,1,85,N,140,0.300,0.214285714,3.529411765
46,vegetable,,365,none,0,2.3,#DIV/0!,6.301369863
46,vegetable,,365,none,0,4.2,#DIV/0!,11.50684932
46,grass,,365,none,0,0.9,#DIV/0!,2.465753425
46,grass,,365,none,0,1.7,#DIV/0!,4.657534247
46,corn,,365,UAN,130,2.2,1.692307692,6.02739726
46,corn,,365,UAN,130,2.9,2.230769231,7.945205479
46,corn,,365,AM,130,1.6,1.230769231,4.383561644
46,corn,,365,AM,130,2.4,1.846153846,6.575342466
46,corn,,365,AM,130,2.9,2.230769231,7.945205479
46,corn,,365,AM,130,3.8,2.923076923,10.4109589
47,grass,4.1,365,none,0,3.2,#DIV/0!,8.767123288
47,grass,4.1,365,N,700,13.4,1.914285714,36.71232877
47,grass,4.1,365,M,700,3.3,0.471428571,9.04109589
48,grass,4.1,273,none,0,0.45,#DIV/0!,1.648351648
48,grass,4.1,314,none,0,3.55,#DIV/0!,11.30573248
48,grass,4.1,314,N,100,6.9,6.9,21.97452229
48,grass,4.1,273,N,400,1.25,0.3125,4.578754579
48,grass,4.1,273,M,298,1.1,0.369127517,4.029304029
48,grass,4.1,314,M,1230,3.25,0.264227642,10.35031847
49,corn,,117,AN,180,0.585,0.325,5
