length,pcb,n,lgpcb,year,y
25.98425197,3.18,1,1.156881197,1987,13
28.1496063,1.97,1,0.678033543,1987,13
25.98425197,1.79,1,0.58221562,1987,13
28.42519685,4.38,1,1.477048724,1987,13
29.72440945,4.788,1,1.566112788,1989,15
27.20472441,3.318,1,1.199362192,1989,15
28.66141732,2.411,1,0.880041599,1989,15
25.59055118,2.473,1,0.905431989,1989,15
26.45669291,2.126,1,0.75424228,1989,15
28.1496063,2.02,1,0.703097511,1989,15
24.88188976,2.523,1,0.92544867,1989,15
27.63779528,2.147,1,0.764071519,1989,15
28.97637795,1.883,1,0.63286625,1989,15
27.63779528,2.646,1,0.973049066,1989,15
25,0.917,1,-0.086647807,1989,15
25.07874016,0.903,1,-0.102032726,1989,15
25.19685039,0.711,1,-0.341082849,1989,15
24.4488189,1.009,1,0.008959741,1989,15
25.62992126,0.881,1,-0.126697653,1989,15
25.35433071,1.13,1,0.122217633,1989,15
24.09448819,0.798,1,-0.225646682,1989,15
24.4488189,0.822,1,-0.196014884,1989,15
24.09448819,0.935,1,-0.06720875,1989,15
24.64566929,1.017,1,0.016857117,1989,15
22.3,0.65,1,-0.430782916,1990,16
23,0.89,1,-0.116533816,1990,16
20.6,0.29,1,-1.237874356,1990,16
24,0.68,1,-0.385662481,1990,16
24.4,2.2,1,0.78845736,1990,16
25.2,1.6,1,0.470003629,1990,16
25.8,1.3,1,0.262364264,1990,16
26.3,2.3,1,0.832909123,1990,16
27,1.5,1,0.405465108,1990,16
28.2,2.3,1,0.832909123,1990,16
29.3,2.5,1,0.916290732,1990,16
31.1,2.7,1,0.993251773,1990,16
34.1,12,1,2.48490665,1990,16
23,1.8,1,0.587786665,1990,16
23,1.2,1,0.182321557,1990,16
23.1,1.5,1,0.405465108,1990,16
24.6,1.3,1,0.262364264,1990,16
24.1,1.2,1,0.182321557,1990,16
27.5,2.1,1,0.741937345,1990,16
26,1.5,1,0.405465108,1990,16
30,6,1,1.791759469,1990,16
32,9.3,1,2.2300144,1990,16
22.5,0.58,1,-0.544727175,1990,16
23.1,0.96,1,-0.040821995,1990,16
22.8,2,1,0.693147181,1990,16
23.8,2.8,1,1.029619417,1990,16
25.1,1.7,1,0.530628251,1990,16
25.9,4.4,1,1.481604541,1990,16
26.2,1.6,1,0.470003629,1990,16
20.59055118,0.633,1,-0.457284857,1991,17
21.92913386,0.902,1,-0.103140759,1991,17
20.86614173,1.28,1,0.246860078,1991,17
23.81889764,0.854,1,-0.157824085,1991,17
23.42519685,1.22,1,0.198850859,1991,17
27.75590551,2.64,1,0.970778917,1991,17
28.97637795,1.65,1,0.500775288,1991,17
28.1496063,4.07,1,1.403642999,1991,17
26.8503937,1.66,1,0.506817602,1991,17
28.34645669,1.53,1,0.425267735,1991,17
28,1.7,1,0.530628251,1992,18
29.7,2.5,1,0.916290732,1992,18
32,5.8,1,1.757857918,1992,18
27.3,1.7,1,0.530628251,1992,18
27.5,2.4,1,0.875468737,1992,18
30.8,3.1,1,1.131402111,1992,18
21,0.52,1,-0.653926467,1992,18
22,0.96,1,-0.040821995,1992,18
22,0.67,1,-0.400477567,1992,18
24,0.82,1,-0.198450939,1992,18
26,1.2,1,0.182321557,1992,18
26,1.2,1,0.182321557,1992,18
26,1.7,1,0.530628251,1992,18
29,4.2,1,1.435084525,1992,18
29,3.1,1,1.131402111,1992,18
24.6,2.7,1,0.993251773,1992,18
22.3,1.1,1,0.09531018,1992,18
24.2,1.1,1,0.09531018,1992,18
25.6,3,1,1.098612289,1992,18
26.3,1.3,1,0.262364264,1992,18
26.8,1.9,1,0.641853886,1992,18
27.4,1.6,1,0.470003629,1992,18
27.9,2.7,1,0.993251773,1992,18
28.2,3.6,1,1.280933845,1992,18
29,2.7,1,0.993251773,1992,18
29.5,1.8,1,0.587786665,1992,18
30.1,2,1,0.693147181,1992,18
30.5,3,1,1.098612289,1992,18
30.6,4.2,1,1.435084525,1992,18
22,1.1,1,0.09531018,1994,20
25.5,3.9,1,1.360976553,1994,20
29,3.5,1,1.252762968,1994,20
20.5,0.95,1,-0.051293294,1994,20
23,0.65,1,-0.430782916,1994,20
23.5,1.2,1,0.182321557,1994,20
23.5,0.62,1,-0.478035801,1994,20
20.25,0.59,1,-0.527632742,1994,20
21,0.55,1,-0.597837001,1994,20
26.5,1.4,1,0.336472237,1994,20
27,1.2,1,0.182321557,1994,20
27.25,1.5,1,0.405465108,1994,20
30,3.3,1,1.193922468,1994,20
30.5,4.8,1,1.568615918,1994,20
31,2,1,0.693147181,1994,20
28,2.5,1,0.916290732,1994,20
23.2,1.2,1,0.182321557,1994,20
23.7,0.84,1,-0.174353387,1994,20
25,1.8,1,0.587786665,1994,20
25.4,1.7,1,0.530628251,1994,20
28.6,3.8,1,1.335001067,1994,20
29.2,3.3,1,1.193922468,1994,20
29.4,3.2,1,1.16315081,1994,20
31.3,3.2,1,1.16315081,1994,20
31.4,7.4,1,2.00148,1994,20
20.9,1.2,1,0.182321557,1994,20
21.8,0.46,1,-0.776528789,1994,20
22.6,1.1,1,0.09531018,1994,20
22.8,0.98,1,-0.020202707,1994,20
27.7,1.6,1,0.470003629,1994,20
28.8,1.8,1,0.587786665,1994,20
29.2,2.3,1,0.832909123,1994,20
28,1.7,1,0.530628251,1994,20
20.47244094,0.96,1,-0.040821995,1996,22
20.47244094,0.984,1,-0.016129382,1996,22
21.45669291,1.11,1,0.104360015,1996,22
24.01574803,1.19,1,0.173953307,1996,22
23.42519685,1.45,1,0.371563556,1996,22
24.60629921,2.33,1,0.845868268,1996,22
24.80314961,1.36,1,0.3074847,1996,22
25,1.9,1,0.641853886,1996,22
25.98425197,1.43,1,0.357674444,1996,22
26.18110236,2.28,1,0.824175443,1996,22
21.61417323,0.658,1,-0.418550348,1996,22
21.88976378,0.699,1,-0.358104537,1996,22
21.1023622,0.639,1,-0.447850825,1996,22
23.18897638,1.41,1,0.343589704,1996,22
23.8976378,1.5,1,0.405465108,1996,22
24.68503937,1.25,1,0.223143551,1996,22
23.7007874,1.31,1,0.270027137,1996,22
23.77952756,0.807,1,-0.214431611,1996,22
24.40944882,1.26,1,0.231111721,1996,22
25.19685039,0.932,1,-0.070422464,1996,22
31,6.7,1,1.902107526,1996,22
31.4,3.9,1,1.360976553,1996,22
21.65354331,0.855,1,-0.15665381,1997,23
22.24409449,1.21,1,0.19062036,1997,23
22.44094488,0.71,1,-0.342490309,1997,23
22.63779528,0.9,1,-0.105360516,1997,23
23.46456693,0.669,1,-0.401971219,1997,23
23.62204724,1.233,1,0.209450224,1997,23
23.62204724,0.844,1,-0.169602784,1997,23
24.01574803,1.316,1,0.274596833,1997,23
24.72440945,1.225,1,0.202940844,1997,23
25.47244094,1.263,1,0.233489843,1997,23
28.07086614,1.823,1,0.600483496,1998,24
28.11023622,2.911,1,1.068496665,1998,24
29.33070866,2.348,1,0.853563902,1998,24
29.48818898,2.033,1,0.709512535,1998,24
30,1.35,1,0.300104592,1998,24
30.70866142,2.596,1,0.953971799,1998,24
30.86614173,2.993,1,1.096276229,1998,24
31.18110236,2.223,1,0.798857635,1998,24
31.57480315,2.224,1,0.799307376,1998,24
33.07086614,3.4,1,1.223775432,1998,24
33.11023622,4.998,1,1.609037832,1998,24
33.38582677,2.685,1,0.987680728,1998,24
25.90551181,1.252,1,0.224742273,1998,24
25.94488189,1.179,1,0.164666622,1998,24
21.5,1,1,0,1998,24
27.2,2,1,0.693147181,1998,24
28.2,2.4,1,0.875468737,1998,24
29.1,2.8,1,1.029619417,1998,24
22.6,1.2,1,0.182321557,2000,26
27.2,2.9,1,1.064710737,2000,26
27.3,1.9,1,0.641853886,2000,26
27.5,3.3,1,1.193922468,2000,26
29,5.4,1,1.686398954,2000,26
30,3.6,1,1.280933845,2000,26
30.6,4.1,1,1.410986974,2000,26
31.8,7.1,1,1.960094784,2000,26
26,3,1,1.098612289,2000,26
30.8,4.2,1,1.435084525,1998,24
