bathy,chla,D.coast,D.ice,D.inswb,D.slp,S.bathy,W.mass,A.v50,A.v75,A.v100,A.v300,A.v500,A.v300.2,A.v500.2,A.v500.3,year,Lat,Lon,MN,MN.G,BA,BA.G,TW
-124.0379,0.0933619,8200.609,1414.214,63245.55,70178.34,0.5792092,0.9050153,NA,NA,NA,NA,NA,NA,NA,NA,2001,-66.445,-71.256,0,0,2,1,2
-513.9415,0.07395802,10111.87,6324.555,33541.02,47434.16,1.325127,0.9736071,-77.377,-73.902,-71.347,-66.149,-65.871,-65.216,-65.145,-64.978,2001,-66.473,-71.147,7,4,5,2,12
-221.8248,0.1737545,9656.604,95071.02,15811.39,101242.3,0.4627309,0.6547625,-82.557,-82.171,-79.297,-56.659,-56.458,-55.265,-55.155,NA,2001,-67.441,-70.96,3,1,0,0,3
-221.8248,0.1737545,9656.604,95071.02,15811.39,101242.3,0.4627309,0.6547625,-82.557,-82.171,-79.297,-56.659,-56.458,-55.265,-55.155,NA,2001,-67.978,-68.552,1,1,0,0,1
-210.8528,0.2077351,18439.09,88748.24,10000,96046.87,0.7133459,0.7770962,-81.671,-79.939,-76.465,-71.638,-71.638,-69.444,-69.444,NA,2001,-67.858,-68.098,3,1,0,0,3
-582.3405,0.3438878,18560.71,67742.16,11180.34,71063.35,0.6309491,1.29373,-73.696,-75.919,-76.946,-76.462,-75.785,-76.294,-75.581,-74.824,2001,-69.105,-72.588,0,0,1,1,1
-455.2307,0.4732286,20940.39,156821.5,41231.05,65764.73,0.1265919,1.377703,-79.347,-79.097,-79.097,-65.99,-67.686,-65.428,-67.405,-70.959,2001,-69.118,-72.615,0,0,1,1,1
-324.3962,0.6052794,16970.56,176332.8,33541.02,53851.65,0.5911711,1.421744,-81.256,-81.141,-82.572,-73.461,-74.023,-72.318,-73.137,-78.089,2001,-67.811,-69.195,0,0,1,1,1
-156.3591,0.1738288,1581.139,115612.5,0,82006.09,1.583362,1.119965,-74.301,-70.133,-68.052,-67.145,-67.501,-66.867,-67.411,-68.028,2001,-67.811,-69.195,9,4,0,0,9
-156.3591,0.1738288,1118.034,115965.5,NA,NA,1.583362,1.119965,-73.986,-69.473,-67.652,-66.896,-67.272,-66.66,-67.208,-67.83,2001,-67.833,-69.401,8,3,0,0,8
-189.4763,0.1987753,4472.136,127460.8,14142.14,76157.73,4.87622,0.8723768,-78.259,-74.019,-71.586,-69.597,-69.256,-69.039,-68.863,-68.583,2001,-67.753,-68.394,8,4,0,0,8
-116.506,0.1770849,2236.068,116672.6,0,81394.1,1.583362,1.098117,-73.928,-68.617,-67.303,-66.197,-66.673,-65.848,-66.565,-67.411,2001,-67.751,-68.404,3,1,0,0,3
-116.506,0.1831406,2828.427,114905.4,0,81394.1,2.956909,1.101012,-74.742,-69.401,-68.478,-66.926,-67.158,-66.464,-66.949,-67.479,2001,-67.742,-67.839,0,0,1,1,1
-135.0633,0.4193092,5315.073,151268.8,29154.76,60207.97,1.912712,1.324329,-81.256,-81.141,-82.572,-73.461,-74.023,-72.318,-73.137,-78.089,2001,-67.734,-68.466,0,0,2,1,2
-163.5397,0.4494918,6519.203,155172.5,36055.51,55000,1.912712,1.340208,-81.256,-81.141,-82.572,-73.461,-74.023,-72.318,-73.137,-78.089,2001,-67.256,-69.013,2,1,0,0,2
-659.8242,0.1418272,17585.51,110865.9,5000,91787.8,2.149404,1.114759,-81.1,-72.755,-68.121,-68.019,-67.934,-67.988,-67.887,-67.458,2001,-68.755,-71.358,7,3,0,0,7
-262.2222,0.0512243,74607.3,43894.77,4207.764,77781.74,1.049034,1.244658,NA,NA,NA,NA,NA,NA,NA,NA,2002,-68.1917,-71.788,0,0,0,0,0
-403.8943,1.016842,59550.4,185897,39973.76,85146.93,0.8428844,1.502009,-82.01,-80,-76.16,-74.4,-72.24,-73.91,-71.68,-69.3,2002,-66.2717,-68.8592,0,0,0,0,0
-411.1133,1.017425,54965.9,183591.3,35827.82,90553.85,0.8528557,1.456395,-78.05,-76.05,-75.57,-74.9,-73.13,-74.68,-72.75,-70.92,2002,-66.2897,-68.7607,0,0,0,0,0
-455.5919,1.015725,51264.02,180948.6,31837.51,90553.85,0.8400909,1.435274,-75.4,-77.33,-78.37,-77.19,-75.11,-76.83,-74.65,-72.7,2002,-66.3073,-68.6852,0,0,0,0,0
-463.8778,1.040948,58105.51,133996,43372.64,84852.81,0.9102463,1.46677,NA,NA,NA,NA,NA,NA,NA,NA,2002,-66.8498,-69.873,0,0,0,0,0
-474.9244,0.9995567,46861.5,124332.6,35827.82,83216.59,0.7583936,1.38774,NA,NA,NA,NA,NA,NA,NA,NA,2002,-66.9105,-69.6533,0,0,0,0,0
-495.7556,0.9998809,41367.26,118027.8,31628.28,76321.69,0.7418573,1.367757,NA,NA,NA,NA,NA,NA,NA,NA,2002,-66.9417,-69.5485,0,0,0,0,0
-533.7359,0.9985867,36062.45,113306.7,30123.01,73824.12,0.5983,1.372379,NA,NA,NA,NA,NA,NA,NA,NA,2002,-66.9778,-69.4582,0,0,0,0,0
-487.2049,0.9937809,24418.23,104162.1,21965.17,60415.23,0.2621666,1.390272,NA,NA,NA,NA,NA,NA,NA,NA,2002,-67.0408,-69.2432,0,0,0,0,0
-504.8912,0.9997323,20934.42,101158.7,17349.06,60415.23,0.2621666,1.405309,NA,NA,NA,NA,NA,NA,NA,NA,2002,-67.059,-69.1688,0,0,0,0,0
-3403.257,1.171359,173415.7,205053,51962.05,10000,0.4228501,1.874659,-83.6,-84.72,-85.49,-75.99,-75.71,-75.06,-75.22,-75.4,2002,-66.623,-72.4755,0,0,0,0,0
-3488.79,1.264927,175990.1,200744.4,56453.08,10000,0.5761357,1.784998,-81.51,-83.06,-84.29,-79.57,-77.68,-78.59,-77.04,-75.75,2002,-66.6475,-72.575,0,0,0,0,0
-3477.414,1.320253,178506.3,197667.5,60246.02,11180.34,0.835941,1.72735,-87.61,-86.03,-86.03,-81.97,-77.71,-81.14,-77.25,-75.94,2002,-66.6698,-72.6732,0,0,0,0,0
-3506.925,1.355154,181837.8,192442.8,63151.52,15000,0.8606898,1.712204,-82.6,-82.75,-82.75,-73.53,-74.56,-72.78,-74.18,-76.36,2002,-66.6877,-72.7832,0,0,0,0,0
-3451.885,1.320771,184560.3,189505.6,65355.94,15000,0.8137271,1.721663,-85.1,-85.86,-77.56,-72.12,-72.81,-71.14,-72.15,-76.21,2002,-66.7117,-72.89,0,0,0,0,0
-3453.269,1.25364,188095.7,184439.2,70691.69,15811.39,0.61748,1.749225,-81.52,-81.85,-82.73,-72.9,-74.17,-71.69,-73.48,-78.04,2002,-66.7295,-73.0055,0,0,0,0,0
-3572.204,1.023997,198742.3,184197.3,70315,25000,0.5114034,1.865473,-83.76,-84.09,-85.06,-70.8,-72.07,-69.51,-71.34,-75.29,2002,-66.7113,-73.2482,0,0,0,0,0
-3614.544,1.003407,201948.6,183827.2,71470.09,25000,0.2990426,1.884804,-81.35,-82.94,-84.08,-69.98,-70.78,-68.7,-69.83,-75.54,2002,-66.7053,-73.32,0,0,0,0,0
-237.0856,0.1405119,13462.91,12589.63,4207.764,91923.88,2.061712,1.080368,-88.8,-79.22,-73.83,-65.06,-65.06,-63.68,-63.68,NA,2002,-67.8725,-67.861,0,0,0,0,0
