DATE,INSTITUTION,TP,SECCHI,LAT,LONG,YEAR,SEASON,DISTANCE
7/15/2013,OSU,26.89,2.37,41.648,-83.099,2013,Mid,0.401
8/14/2012,OEPA,27,,41.733,-83.416237,2012,Mid,0.0887
8/19/2013,OEPA,27,,41.70163,-83.37407,2013,Mid,0.123
7/11/2011,Toledo,27.2,1.35,41.734,-83.297,2011,Mid,0.2038
7/19/2010,NOAA,27.26,1.8,41.885,-83.318,2010,Mid,0.2599
10/11/2011,Toledo,27.5,2.1,41.75,-83.104,2011,Late,0.3964
8/16/2013,Toledo,27.5,1.9,41.733,-83.297,2013,Mid,0.2034
8/20/2012,NOAA,27.51,1.2,41.762,-83.33,2012,Mid,0.1793
8/19/2013,OSU,27.57,1.83,41.648,-83.098,2013,Mid,0.4019
7/6/2010,NOAA,27.58,2.5,41.886,-83.318,2010,Mid,0.2605
8/5/2013,OSU,27.6,0.3,41.648,-83.099,2013,Mid,0.401
7/22/2010,Toledo,27.8,1.9,41.75,-83.104,2010,Mid,0.3967
7/19/2010,NOAA,27.83,1.4,41.804,-83.256,2010,Mid,0.2643
8/1/2011,NOAA,27.88,1.75,41.947,-83.151,2011,Mid,0.4273
10/7/2010,NOAA,27.9,1.5,41.885,-83.319,2010,Late,0.2595
9/27/2011,Toledo,27.9,1.45,41.75,-83.104,2011,Late,0.397
4/8/2013,OEPA,28,,41.7267,-83.15,2013,Early,0.3483
9/4/2013,OEPA,28,,41.76832,-83.3008,2013,Late,0.209
10/8/2013,Toledo,28,2.1,41.821,-83.186,2013,Late,0.335
7/26/2010,NOAA,28.05,1.6,41.885,-83.318,2010,Mid,0.26
8/6/2012,NOAA,28.2,1.1,41.763,-83.33,2012,Mid,0.18
8/11/2010,ODNR,28.20000076,,41.839,-83.055,2010,Mid,0.4645
6/27/2011,Toledo,28.7,1.92,41.752,-83.103,2011,Early,0.3979
5/30/2013,Toledo,28.8,2,41.716,-83.456,2013,Early,0.0455
5/1/2012,Toledo,28.9,1.3,41.733,-83.298,2012,Early,0.2028
6/24/2013,Toledo,28.9,1.3,41.716,-83.455,2013,Early,0.0461
7/15/2010,Toledo,29,2.5,41.751,-83.103,2010,Mid,0.3973
9/27/2011,Toledo,29,2.2,41.821,-83.185,2011,Late,0.3356
8/14/2012,OEPA,29,,41.7267,-83.15,2012,Mid,0.3483
8/5/2013,OEPA,29,,41.733,-83.416237,2013,Mid,0.0887
