Plot,Species,High class,Numb,type
90,????,1,1,companion
109,????,1,1,companion
110,????,1,1,companion
111,????,1,1,companion
113,????,0.5,1,companion
74,??,0.5,1,domi
1,??,1,1,pioneer
6,??,1,1,pioneer
51,??,1,2,pioneer
54,??,1,2,pioneer
73,??,1,2,pioneer
73,??,0.5,1,pioneer
79,??,1,1,pioneer
80,??,0.5,2,pioneer
81,??,1,1,pioneer
81,??,0.5,1,pioneer
82,??,0.5,1,pioneer
